P0	accepted_settlement_has_public_event	PASS	accepted/sold settlements must have matching bid and public auction_event rows
P0	at_most_one_order	PASS	one auction can create at most one order
P0	auction_accepted_count_matches_pg	PASS	auction accepted counter must match PG accepted bids
P0	auction_exists	PASS	auction row must exist
P0	engine_epoch_seq_monotonic	PASS	engine_epoch/engine_seq must be monotonic
P0	engine_not_paused	PASS	auction engine must not be paused after a valid PTS run
P0	increment_grid_valid	PASS	accepted bid deltas must follow auction increment_cents
P0	kafka_offset_matches_engine_order	PASS	Kafka offset order must preserve engine_seq order for the auction partition
P0	kafka_position_present	PASS	every Kafka ledger settlement must record topic/partition/offset
P0	no_accepted_after_final_end	PASS	no accepted bid may appear after final end_at
P0	no_created_at_seq_inversion	PASS	created_at must not go backward relative to accepted seq
P0	no_cross_auction_event_payload_leak	PASS	event payload bid_id/auction_id must belong to the same auction
P0	no_duplicate_client_bid_id	PASS	client_bid_id must not create duplicate bid rows
P0	no_duplicate_engine_seq	PASS	engine_epoch/engine_seq must identify at most one accepted bid
P0	no_non_terminal_settlements	PASS	no PROCESSING/FAILED/DLQ settlement rows after the chosen settle window
P0	no_public_auction_event_seq_gap	PASS	public auction event seq must be continuous
P0	pts_expected_total_bid_rows	PASS	PTS post-run gate: total persisted bid decisions must match expected_unique_bids
P0	pts_expected_unique_client_bid_ids	PASS	PTS post-run gate: distinct client_bid_id count must match expected_unique_bids; detects duplicated CSV rows/idempotency replay workload
P0	pts_expected_unique_users	PASS	PTS post-run gate: distinct user_id count must match expected_unique_bids; detects disabled Alibaba PTS CSV split
P0	redis_engine_seq_matches_settlement	PASS	auction engine_seq must equal the latest settled Redis/Kafka engine ledger seq
P0	redis_kafka_pg_accepted_match	PASS	accepted/sold Kafka ledger rows must match PG accepted bids
P1	outbox_drained	PASS	outbox should drain after the chosen settle window
P0	accepted_public_event_exact_mapping	PASS	each accepted bid must have an exact public event payload match
P0	auction_winner_matches_highest_accepted	PASS	auction winner/current price must equal the highest accepted bid
P0	bid_too_low_rejects_justified	PASS	each BID_TOO_LOW reject must be below the engine price floor at its engine_seq
P0	cap_terminal_single_sold_order	PASS	cap price is terminal: exactly one ENGINE_SOLD/order, no equal-cap loser misclassified as BID_TOO_LOW
P0	engine_seq_complete	PASS	settled engine_seq must be complete from 1 through total bid decisions
P0	every_bid_has_settled_ledger	PASS	each bid decision must have a matching terminal Redis/Kafka settlement row
P0	idempotency_response_matches_bid	PASS	completed bid idempotency response_json must match the persisted bid decision
P0	public_events_have_published_outbox	PASS	each public auction_event must have a published outbox delivery
P0	soft_close_no_stacked_subwindow_extension	PASS	soft close must not stack multiple extensions inside one old end_at window
P0	redis_no_eviction	PASS	evicted_keys must stay zero
P1	redis_no_rejected_connections	PASS	rejected_connections should stay zero
P0	redis_noeviction_policy	PASS	Redis maxmemory policy must not evict hot auction state
P0	dlq_empty	PASS	Kafka DLQ must stay empty or be explained before release
P1	kafka_consumer_group_lag_zero	PASS	Settlement consumer group lag should drain to zero after the chosen settle window
P0	v3_relay_log_stream_length	INFO	Stream length=1000 cursor=1780243806443-0; all decisions should be relayed to Kafka after run
P0	redis_pending_decisions_empty	PASS	Redis pending hash must be zero after full relay drain
P0	v3_relay_cursor_advanced	PASS	Relay cursor=1780243806443-0 stream_len=1000
